Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,60.3x2.9 CHS,-,4.11,60.3,60.3,2.9,2.9,,,,,,,,0.189,46.1,21.6,21.6,2.03,2.03,7.16,7.16,9.56,9.56,,,,43.2,5.23,,,,,,,,,,,,,,20.8,14.3
,60.3x3.2 CHS,-,4.51,60.3,60.3,3.2,3.2,,,,,,,,0.189,42,23.5,23.5,2.02,2.02,7.78,7.78,10.4,10.4,,,,46.9,5.74,,,,,,,,,,,,,,18.8,15.6
,60.3x3.6 CHS,-,5.03,60.3,60.3,3.6,3.6,,,,,,,,0.189,37.6,25.9,25.9,2.01,2.01,8.58,8.58,11.6,11.6,,,,51.7,6.41,,,,,,,,,,,,,,16.8,17.2
,60.3x4 CHS,-,5.55,60.3,60.3,4,4,,,,,,,,0.189,34,28.2,28.2,2,2,9.34,9.34,12.7,12.7,,,,56.3,7.07,,,,,,,,,,,,,,15.1,18.7
,60.3x4.5 CHS,-,6.19,60.3,60.3,4.5,4.5,,,,,,,,0.189,30.4,30.9,30.9,1.98,1.98,10.2,10.2,14,14,,,,61.8,7.89,,,,,,,,,,,,,,13.4,20.5
,60.3x5 CHS,-,6.82,60.3,60.3,5,5,,,,,,,,0.189,27.8,33.5,33.5,1.96,1.96,11.1,11.1,15.3,15.3,,,,67,8.69,,,,,,,,,,,,,,12.1,22.2
,60.3x5.6 CHS,-,7.55,60.3,60.3,5.6,5.6,,,,,,,,0.189,24.9,36.4,36.4,1.94,1.94,12.1,12.1,16.8,16.8,,,,72.7,9.62,,,,,,,,,,,,,,10.8,24.1
,60.3x6.3 CHS,-,8.39,60.3,60.3,6.3,6.3,,,,,,,,0.189,22.5,39.5,39.5,1.92,1.92,13.1,13.1,18.5,18.5,,,,79,10.7,,,,,,,,,,,,,,9.57,26.2
,60.3x8 CHS,-,10.3,60.3,60.3,8,8,,,,,,,,0.189,18.3,46,46,1.87,1.87,15.3,15.3,22.1,22.1,,,,92,13.1,,,,,,,,,,,,,,7.54,30.5
,76.1x2.9 CHS,-,5.24,76.1,76.1,2.9,2.9,,,,,,,,0.239,45.6,44.7,44.7,2.59,2.59,11.8,11.8,15.5,15.5,,,,89.5,6.67,,,,,,,,,,,,,,26.2,23.5
,76.1x3.2 CHS,-,5.75,76.1,76.1,3.2,3.2,,,,,,,,0.239,41.6,48.8,48.8,2.58,2.58,12.8,12.8,17,17,,,,97.6,7.33,,,,,,,,,,,,,,23.8,25.6
,76.1x3.6 CHS,-,6.44,76.1,76.1,3.6,3.6,,,,,,,,0.239,37,54,54,2.57,2.57,14.2,14.2,18.9,18.9,,,,108,8.2,,,,,,,,,,,,,,21.1,28.4
,76.1x4 CHS,-,7.11,76.1,76.1,4,4,,,,,,,,0.239,33.7,59.1,59.1,2.55,2.55,15.5,15.5,20.8,20.8,,,,118,9.06,,,,,,,,,,,,,,19,31
,76.1x4.5 CHS,-,7.95,76.1,76.1,4.5,4.5,,,,,,,,0.239,30.1,65.1,65.1,2.54,2.54,17.1,17.1,23.1,23.1,,,,130,10.1,,,,,,,,,,,,,,16.9,34.2
,76.1x5 CHS,-,8.77,76.1,76.1,5,5,,,,,,,,0.239,27.2,70.9,70.9,2.52,2.52,18.6,18.6,25.3,25.3,,,,142,11.2,,,,,,,,,,,,,,15.2,37.3
,76.1x5.6 CHS,-,9.74,76.1,76.1,5.6,5.6,,,,,,,,0.239,24.6,77.5,77.5,2.5,2.5,20.4,20.4,27.9,27.9,,,,155,12.4,,,,,,,,,,,,,,13.6,40.8
,76.1x6.3 CHS,-,10.8,76.1,76.1,6.3,6.3,,,,,,,,0.239,22,84.8,84.8,2.48,2.48,22.3,22.3,30.8,30.8,,,,170,13.8,,,,,,,,,,,,,,12.1,44.6
,76.1x8 CHS,-,13.4,76.1,76.1,8,8,,,,,,,,0.239,17.8,101,101,2.42,2.42,26.4,26.4,37.3,37.3,,,,201,17.1,,,,,,,,,,,,,,9.51,52.9
