Name:,Profile:,G,h,b,s,t,r,d,At,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy
,,kg/m¹,kg/m¹,mm¹,mm¹,mm¹,mm¹,mm¹,mm²,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3
305x102 UB28,305x102x28,28.20,308.70,101.80,6.00,8.80,7.60,275.90,35.90,5366.00,155.00,12.20,2.08,348.00,30.50,403.00,48.5
305x102 UB33,305x102x33,32.80,312.70,102.40,6.60,10.80,7.60,275.90,41.80,6501.00,194.00,12.50,2.15,416.00,37.90,481.00,60
305x127 UB37,305x127x37,37.00,304.40,123.40,7.10,10.70,8.90,265.20,47.20,7171.00,336.00,12.30,2.67,471.00,54.50,539.00,85.4
305x127 UB42,305x127x42,41.90,307.20,124.30,8.00,12.10,8.90,265.20,53.40,8196.00,389.00,12.40,2.70,534.00,62.60,614.00,98.4
305x127 UB48,305x127x48,48.10,311.00,125.30,9.00,14.00,8.90,265.20,61.20,9575.00,461.00,12.50,2.74,616.00,73.60,711.00,116
305x165 UB40,305x165x40,40.30,303.40,165.00,6.00,10.20,8.90,265.20,51.30,8503.00,764.00,12.90,3.86,560.00,92.60,623.00,142
305x165 UB46,305x165x46,46.10,306.60,165.70,6.70,11.80,8.90,265.20,58.70,9899.00,896.00,13.00,3.90,646.00,108.00,720.00,166
305x165 UB54,305x165x54,54.00,310.40,166.90,7.90,13.70,8.90,265.20,68.80,11696.00,1063.00,13.00,3.93,754.00,127.00,846.00,196
356x127 UB33,356x127x33,33.10,349.00,125.40,6.00,8.50,10.20,311.60,42.10,8249.00,280.00,14.00,2.58,473.00,44.70,543.00,70.3
356x127 UB39,356x127x39,39.1,353.4,1.26E+02,6.6,10.7,10.2,311.6,49.8,10172,358.00,14.30,2.68,576.00,56.80,659.00,89.1
356x171 UB45,356x171x45,45.00,351.40,171.10,7.00,9.70,10.20,311.60,57.30,12066.00,811.00,14.50,3.76,687.00,94.80,775.00,147
356x171 UB51,356x171x51,51.00,355.00,171.50,7.40,11.50,10.20,311.60,64.90,14136.00,968.00,14.80,3.86,796.00,113.00,896.00,174
356x171 UB57,356x171x57,57.00,358.00,172.20,8.10,13.00,10.20,311.60,72.60,16038.00,1108.00,14.90,3.91,896.00,129.00,1010.00,199
356x171 UB67,356x171x67,67.10,363.40,173.20,9.10,15.70,10.20,311.60,85.50,19463.00,1362.00,15.10,3.99,1071.00,157.00,1211.00,243
406x140 UB39,406x140x39,39.00,398.00,141.80,6.40,8.60,10.20,360.40,49.70,12508.00,410.00,15.90,2.87,629.00,57.80,724.00,90.8
